zone,week,year,Cumulated inflow into reservoirs per week in GWh,Cumulated NATURAL inflow into the pump-storage reservoirs per week in GWh
AL00,10,1992,133.545905086415,0
AL00,10,1993,175.495640022113,0
AL00,10,1994,143.899469783094,0
AL00,10,1995,156.838091750717,0
AL00,10,1996,133.532569473509,0
AL00,10,1997,127.429987844603,0
AL00,10,1998,81.4570010769056,0
AL00,10,1999,126.05641971532,0
AL00,10,2000,81.131817285283,0
AL00,10,2001,127.367413045584,0
AL00,10,2002,91.4453751432453,0
AL00,10,2003,157.892630986641,0
AL00,10,2004,264.410326162415,0
AL00,10,2005,268.333047989434,0
AL00,10,2006,188.413745662188,0
AL00,10,2007,85.9931610975849,0
AL00,10,2008,147.626260682037,0
AL00,10,2009,152.173704682867,0
AL00,10,2010,189.437510406792,0
AL00,10,2011,147.775004056754,0
AL00,10,2012,69.4980337496603,0
AL00,10,2013,176.076252091698,0
AL00,10,2014,105.442639612301,0
AL00,10,2015,107.452213895547,0
AL00,10,2016,193.649512452226,0
AL00,10,2017,109.594118491471,0
AL00,11,1982,183.747306961584,0
AL00,11,1983,134.049580927698,0
AL00,11,1984,116.983073857584,0
AL00,11,1985,164.593263563547,0
AL00,11,1986,163.904940774339,0
AL00,11,1987,115.027867842339,0
AL00,11,1988,132.681141880301,0
AL00,11,1989,101.26859277283,0
AL00,11,1990,81.3000511711698,0
AL00,11,1991,192.083090844,0
AL00,11,1992,114.670883743018,0
AL00,11,1993,129.532911418188,0
AL00,11,1994,149.106513714566,0
AL00,11,1995,144.991964224981,0
AL00,11,1996,165.106171752226,0
AL00,11,1997,124.915711903698,0
AL00,11,1998,130.298170435698,0
AL00,11,1999,160.329970699245,0
AL00,11,2000,105.369806649509,0
AL00,11,2001,69.2815864940377,0
AL00,11,2002,100.401777933962,0
AL00,11,2003,122.043426047094,0
AL00,11,2004,277.992134998641,0
AL00,11,2005,241.933663518113,0
AL00,11,2006,284.977944528452,0
AL00,11,2007,77.4717044508679,0
AL00,11,2008,209.147546281358,0
