zone,week,year,Cumulated inflow into reservoirs per week in GWh,Cumulated NATURAL inflow into the pump-storage reservoirs per week in GWh
AL00,14,2003,105.7267907,0
AL00,14,2004,255.7657716,0
AL00,14,2005,304.0765938,0
AL00,14,2006,170.7009743,0
AL00,14,2007,176.6784063,0
AL00,14,2008,132.6698579,0
AL00,14,2009,245.9569154,0
AL00,14,2010,190.3843389,0
AL00,14,2011,88.02017426,0
AL00,14,2012,76.0406906,0
AL00,14,2013,200.3234738,0
AL00,14,2014,69.67447417,0
AL00,14,2015,120.2903059,0
AL00,14,2016,160.2920155,0
AL00,14,2017,113.9025473,0
AL00,15,1982,152.3080866,0
AL00,15,1983,100.8490339,0
AL00,15,1984,168.4862367,0
AL00,15,1985,210.4995723,0
AL00,15,1986,250.6028377,0
AL00,15,1987,197.2850057,0
AL00,15,1988,151.2453409,0
AL00,15,1989,69.66831927,0
AL00,15,1990,134.7440586,0
AL00,15,1991,188.0629165,0
AL00,15,1992,156.9991449,0
AL00,15,1993,211.2884251,0
AL00,15,1994,142.1176267,0
AL00,15,1995,180.2759443,0
AL00,15,1996,211.1571206,0
AL00,15,1997,119.4388783,0
AL00,15,1998,140.8958794,0
AL00,15,1999,225.7206357,0
AL00,15,2000,207.2467085,0
AL00,15,2001,76.07864581,0
AL00,15,2002,120.3569839,0
AL00,15,2003,122.3614291,0
AL00,15,2004,206.4588816,0
AL00,15,2005,185.1670368,0
AL00,15,2006,138.8103947,0
AL00,15,2007,72.12412368,0
AL00,15,2008,123.8868181,0
AL00,15,2009,171.9319539,0
AL00,15,2010,183.6149766,0
AL00,15,2011,75.8898956,0
AL00,15,2012,71.77944937,0
AL00,15,2013,189.1338688,0
AL00,15,2014,88.87570512,0
AL00,15,2015,162.4964949,0
AL00,15,2016,84.79603339,0
AL00,15,2017,78.80629156,0
AL00,16,1982,134.104975,0
AL00,16,1983,83.36194209,0
AL00,16,1984,140.8999827,0
AL00,16,1985,244.3730549,0
AL00,16,1986,193.1345526,0
AL00,16,1987,119.5906991,0
AL00,16,1988,119.7271327,0
AL00,16,1989,32.24858946,0
AL00,16,1990,139.4248587,0
AL00,16,1991,157.5438534,0
AL00,16,1992,109.3345869,0
AL00,16,1993,113.8245852,0
AL00,16,1994,181.7131131,0
AL00,16,1995,142.7320907,0
AL00,16,1996,214.7659426,0
AL00,16,1997,137.8840825,0
AL00,16,1998,166.1114718,0
AL00,16,1999,201.277483,0
AL00,16,2000,125.4358008,0
AL00,16,2001,106.1791758,0
AL00,16,2002,114.3980166,0
AL00,16,2003,200.5973668,0
AL00,16,2004,171.4672591,0
AL00,16,2005,261.8847662,0
AL00,16,2006,262.1894337,0
AL00,16,2007,54.58163781,0
AL00,16,2008,101.4624721,0
AL00,16,2009,109.6064283,0
AL00,16,2010,208.3032994,0
AL00,16,2011,77.26756699,0
AL00,16,2012,76.51461777,0
AL00,16,2013,151.870063,0
AL00,16,2014,92.53992122,0
AL00,16,2015,143.3188577,0
AL00,16,2016,83.23268923,0
AL00,16,2017,89.63480924,0
AL00,17,1982,105.7657718,0
AL00,17,1983,93.57496994,0
AL00,17,1984,205.1837918,0
AL00,17,1985,162.1282268,0
