zone,week,year,Cumulated inflow into reservoirs per week in GWh,Cumulated NATURAL inflow into the pump-storage reservoirs per week in GWh
AL00,6,1997,124.4664043304151,0
AL00,6,1998,230.4732429502642,0
AL00,6,1999,142.6274574751698,0
AL00,6,2000,162.9642671563019,0
AL00,6,2001,155.5650536264151,0
AL00,6,2002,154.1945629462642,0
AL00,6,2003,187.1981532550189,0
AL00,6,2004,209.0726616858114,0
AL00,6,2005,135.9678575533585,0
AL00,6,2006,124.6018120922264,0
AL00,6,2007,167.7302100455094,0
AL00,6,2008,228.1979822252831,0
AL00,6,2009,210.2072145991698,0
AL00,6,2010,172.5977087560755,0
AL00,6,2011,138.1189944966793,0
AL00,6,2012,77.8533081432453,0
AL00,6,2013,177.2559409256604,0
AL00,6,2014,105.268250828151,0
AL00,6,2015,91.61976392739624,0
AL00,6,2016,146.0844586668679,0
AL00,6,2017,121.4802528559245,0
AL00,7,1982,120.5170112775849,0
AL00,7,1983,133.6351511112453,0
AL00,7,1984,171.9719607658868,0
AL00,7,1985,81.13489473441511,0
AL00,7,1986,208.3074026683019,0
AL00,7,1987,126.1825951297359,0
AL00,7,1988,155.4593945395472,0
AL00,7,1989,97.98085128339625,0
AL00,7,1990,101.5240210507925,0
AL00,7,1991,216.6493414489812,0
AL00,7,1992,124.0355614519246,0
AL00,7,1993,104.2537184309434,0
AL00,7,1994,120.0400066621132,0
AL00,7,1995,81.70114537471699,0
AL00,7,1996,196.1340397181887,0
AL00,7,1997,125.5989056110189,0
AL00,7,1998,130.9290475077736,0
AL00,7,1999,231.5206014715472,0
AL00,7,2000,138.4154554297359,0
AL00,7,2001,100.4305007925283,0
AL00,7,2002,124.1545561516981,0
AL00,7,2003,160.5115401980378,0
AL00,7,2004,202.1760981808302,0
AL00,7,2005,113.6214735889811,0
AL00,7,2006,145.3704904682264,0
AL00,7,2007,229.2761152378868,0
AL00,7,2008,118.7033679224151,0
AL00,7,2009,181.0555647873963,0
AL00,7,2010,184.482817304151,0
AL00,7,2011,129.1718240533585,0
AL00,7,2012,91.23405696950945,0
AL00,7,2013,140.9656349438491,0
AL00,7,2014,101.7568813684529,0
AL00,7,2015,188.222943816,0
AL00,7,2016,151.618738022717,0
AL00,7,2017,103.8680114730566,0
AL00,8,1982,129.951444500151,0
AL00,8,1983,135.2261923125283,0
AL00,8,1984,183.1954177505661,0
AL00,8,1985,128.1490851251321,0
AL00,8,1986,274.2273888937359,0
AL00,8,1987,82.90750543449057,0
AL00,8,1988,135.9534961240755,0
AL00,8,1989,97.28021869766039,0
AL00,8,1990,90.4123780512453,0
